kode|navn|regionskode|regionsnavn|centerLon|centerLat
0101|København|1084|Region Hovedstaden|12.49390862|55.7040906
0147|Frederiksberg|1084|Region Hovedstaden|12.52373306|55.67936546
0151|Ballerup|1084|Region Hovedstaden|12.36851587|55.72707466
0153|Brøndby|1084|Region Hovedstaden|12.404382|55.64503727
0155|Dragør|1084|Region Hovedstaden|12.65022813|55.59380739
0157|Gentofte|1084|Region Hovedstaden|12.55072009|55.75097637
0159|Gladsaxe|1084|Region Hovedstaden|12.47620274|55.73986832
0161|Glostrup|1084|Region Hovedstaden|12.40923426|55.69595649
0163|Herlev|1084|Region Hovedstaden|12.4258168|55.74142265
0165|Albertslund|1084|Region Hovedstaden|12.35231988|55.68497387
0167|Hvidovre|1084|Region Hovedstaden|12.46855341|55.631373
0169|Høje-Taastrup|1084|Region Hovedstaden|12.25783217|55.66695566
0173|Lyngby-Taarbæk|1084|Region Hovedstaden|12.51127423|55.78319075
0175|Rødovre|1084|Region Hovedstaden|12.44866158|55.68180831
0183|Ishøj|1084|Region Hovedstaden|12.3344614|55.6223754
0185|Tårnby|1084|Region Hovedstaden|12.55128121|55.59508146
0187|Vallensbæk|1084|Region Hovedstaden|12.38791988|55.63460753
0190|Furesø|1084|Region Hovedstaden|12.37162862|55.79096831
0201|Allerød|1084|Region Hovedstaden|12.3601779|55.86213282
0210|Fredensborg|1084|Region Hovedstaden|12.40105802|55.9533974
0217|Helsingør|1084|Region Hovedstaden|12.51048064|56.01977461
0219|Hillerød|1084|Region Hovedstaden|12.25990832|55.91285671
0223|Hørsholm|1084|Region Hovedstaden|12.4880662|55.8762698
0230|Rudersdal|1084|Region Hovedstaden|12.50040792|55.8341766
0240|Egedal|1084|Region Hovedstaden|12.17627723|55.76506946
0250|Frederikssund|1084|Region Hovedstaden|12.04027849|55.82367218
0253|Greve|1084|Region Hovedstaden|12.26485283|55.58050482
0259|Køge|1085|Region Sjælland|12.15523977|55.42729938
0260|Halsnæs|1084|Region Hovedstaden|12.00519832|55.96345259
0265|Roskilde|1085|Region Sjælland|12.00994755|55.6306281
0269|Solrød|1084|Region Hovedstaden|12.20068558|55.53003561
0270|Gribskov|1084|Region Hovedstaden|12.26488965|56.05541826
0306|Odsherred|1085|Region Sjælland|11.62814816|55.82261613
0316|Holbæk|1085|Region Sjælland|11.64839825|55.67363052
0320|Faxe|1085|Region Sjælland|12.10133459|55.2767319
0326|Kalundborg|1085|Region Sjælland|11.26655879|55.66949754
0329|Ringsted|1085|Region Sjælland|11.82485088|55.4459649
0330|Slagelse|1085|Region Sjælland|11.31662419|55.35897671
0336|Stevns|1085|Region Sjælland|12.33218671|55.33753414
0340|Sorø|1085|Region Sjælland|11.63093735|55.4222363
0350|Lejre|1085|Region Sjælland|11.91637759|55.60893099
0360|Lolland|1085|Region Sjælland|11.3966948|54.79419398
0370|Næstved|1085|Region Sjælland|11.81938605|55.19506032
0376|Guldborgsund|1085|Region Sjælland|11.91989457|54.7765891
0390|Vordingborg|1085|Region Sjælland|12.12017614|55.04040555
0400|Bornholm|1084|Region Hovedstaden|14.87476|55.14034
0410|Middelfart|1083|Region Syddanmark|9.8147628|55.48627296
0420|Assens|1083|Region Syddanmark|9.98006099|55.27652
0430|Faaborg-Midtfyn|1083|Region Syddanmark|10.19571299|55.17399476
0440|Kerteminde|1083|Region Syddanmark|10.57120351|55.39108079
0450|Nyborg|1083|Region Syddanmark|10.6781976|55.27680708
0461|Odense|1083|Region Syddanmark|10.29848497|55.39170385
0479|Svendborg|1083|Region Syddanmark|10.52326688|55.09621323
0480|Nordfyns|1083|Region Syddanmark|10.16778758|55.50599426
0482|Langeland|1083|Region Syddanmark|10.70871447|54.81986883
0492|Ærø|1083|Region Syddanmark|10.39952748|54.85586896
0510|Haderslev|1083|Region Syddanmark|9.29762312|55.24461821
0530|Billund|1083|Region Syddanmark|9.00651005|55.69765926
0540|Sønderborg|1083|Region Syddanmark|9.94828845|54.94264465
0550|Tønder|1083|Region Syddanmark|8.85683082|55.04435506
0561|Esbjerg|1083|Region Syddanmark|8.72094847|55.46178607
0563|Fanø|1083|Region Syddanmark|8.42104862|55.40607728
0573|Varde|1083|Region Syddanmark|8.60622686|55.68693144
0575|Vejen|1083|Region Syddanmark|9.0502437|55.49285528
0580|Aabenraa|1083|Region Syddanmark|9.27705335|54.9585711
0607|Fredericia|1083|Region Syddanmark|9.65516922|55.55637765
0615|Horsens|1082|Region Midtjylland|9.78768675|55.85455497
0621|Kolding|1083|Region Syddanmark|9.37498479|55.47060605
0630|Vejle|1083|Region Syddanmark|9.37618972|55.73553428
0657|Herning|1082|Region Midtjylland|8.88429498|56.1230085
0661|Holstebro|1082|Region Midtjylland|8.56543662|56.38166684
0665|Lemvig|1082|Region Midtjylland|8.30756424|56.55654527
0671|Struer|1082|Region Midtjylland|8.6078949|56.49723
0706|Syddjurs|1082|Region Midtjylland|10.43095849|56.25099908
0707|Norddjurs|1082|Region Midtjylland|10.56291765|56.4155959
0710|Favrskov|1082|Region Midtjylland|9.91424009|56.29479671
0727|Odder|1082|Region Midtjylland|10.1183543|55.96025818
0730|Randers|1082|Region Midtjylland|10.04247254|56.53000764
0740|Silkeborg|1082|Region Midtjylland|9.52543413|56.1427685
0741|Samsø|1082|Region Midtjylland|10.59771925|55.86173834
0746|Skanderborg|1082|Region Midtjylland|9.87853725|56.0296
0751|Aarhus|1082|Region Midtjylland|10.12773415|56.21224752
0756|Ikast-Brande|1082|Region Midtjylland|9.28127461|55.98959453
0760|Ringkøbing-Skjern|1082|Region Midtjylland|8.41416362|56.02975282
0766|Hedensted|1082|Region Midtjylland|9.7099019|55.78027082
0773|Morsø|1081|Region Nordjylland|8.78925103|56.80379226
0779|Skive|1082|Region Midtjylland|8.93825966|56.60693263
0787|Thisted|1081|Region Nordjylland|8.6048282|56.93738773
0791|Viborg|1082|Region Midtjylland|9.26285675|56.41625668
0810|Brønderslev|1081|Region Nordjylland|9.9587543|57.24137483
0813|Frederikshavn|1081|Region Nordjylland|10.43714858|57.42153949
0820|Vesthimmerlands|1081|Region Nordjylland|9.39766159|56.77753389
0825|Læsø|1081|Region Nordjylland|11.00485419|57.25820489
0840|Rebild|1081|Region Nordjylland|9.83296698|56.85990768
0846|Mariagerfjord|1081|Region Nordjylland|9.89916063|56.68403037
0849|Jammerbugt|1081|Region Nordjylland|9.37992449|57.13854791
0851|Aalborg|1081|Region Nordjylland|9.82791082|57.00464277
0860|Hjørring|1081|Region Nordjylland|9.97693802|57.47284427
